trip_id,avg_speed_mps,max_speed_mps,std_speed_mps,idle_ratio,stops_per_km,accel_noise,cluster
30565,15.223450292397661,23.75,6.126194388535646,0.011695906432748537,0.3788712984651213,0.7856739332647894,0
30570,14.04644578313253,21.43,6.85226407180219,0.060240963855421686,0.8952645530482579,0.9457381276339694,2
30572,14.368584905660377,20.66,6.627047841373083,0.018867924528301886,0.654882022864545,0.6704511629527999,0
30576,17.05751445086705,20.17,3.941264160926968,0.011560693641618497,0.34311911600459843,0.6090976933136424,3
30577,17.938906250000002,24.13,4.854236482140551,0.010416666666666666,0.283741261793391,0.6302903843359721,3
30578,23.03993690851735,28.31,4.790725661311662,0.006309148264984227,0.13708347747277266,0.5931294391998846,1
30579,22.572962962962965,26.34,5.033951260682263,0.009259259259259259,0.2072659748694596,0.6324577382700558,3
30581,21.72201754385965,28.05,6.488498620680242,0.008771929824561403,0.20359103117951785,0.753699831579753,1
30583,21.52390243902439,29.64,5.22386012915913,0.006097560975609756,0.14054842791046596,0.6535988351495652,1
30584,17.282950819672134,23.0,7.093309557110216,0.03278688524590164,0.976215153029725,1.116212345389532,2
30585,19.220073529411764,25.94,6.550214466215358,0.014705882352941176,0.3784413378477461,1.049625682838446,0
30587,19.597441860465114,28.3,5.675031607242362,0.0027359781121751026,0.07058776971113262,0.41890823528434135,1
30589,17.893125,25.87,7.022949272518989,0.00625,0.17623365778824585,0.6059578805313588,1
30592,26.30616290983607,34.2,4.583844601649029,0.0010245901639344263,0.01946948066563737,0.3365838268183032,1
30593,15.699686684073106,23.7,4.977933070703374,0.005221932114882507,0.16766608815701195,0.7379677059861997,3
30595,14.87732804232804,25.1,6.20302388311577,0.013227513227513227,0.3293457502833805,0.8656329617125165,0
30596,17.55924528301887,22.88,5.583138310365096,0.018867924528301886,0.5284280231142068,0.8121740371784034,0
30597,17.545873015873013,22.71,6.37482838484739,0.031746031746031744,0.9431329187034313,1.1743096805385076,2
30598,13.628933333333334,20.49,6.664943625334643,0.02666666666666667,0.973587240557501,0.8733780333791257,0
30601,17.225688073394497,21.19,5.285187083557817,0.01834862385321101,0.5194141199987581,0.706417671017597,0
30602,14.74190355329949,24.74,5.308798049635603,0.017766497461928935,0.3499142679212638,0.5962499433215416,3
30609,17.229895833333334,24.64,5.09748436624864,0.006944444444444444,0.19950503992081042,0.5776903430075504,3
30612,13.993296703296702,20.22,6.655889081213546,0.02197802197802198,0.7789431843762227,0.7055116346784556,0
30613,16.916296296296295,21.37,4.656403912214874,0.012345679012345678,0.36942627704584935,0.5281539395393464,3
30614,18.636018518518515,22.7,5.620192091717614,0.018518518518518517,0.4838050454853841,0.7579337381340595,0
30619,28.42195811170213,37.92,7.186024894114303,0.002327127659574468,0.023302326531621523,0.27822003001478884,1
30625,19.364154929577467,27.33,8.26367451799604,0.028169014084507043,0.532711515683211,0.5477270734558101,1
30626,21.162512562814072,24.28,4.12324605240048,0.005025125628140704,0.1189246681606843,0.33752395194418444,3
